site,asset,scale,x,y,z,yaw_deg,W,H,D,role,support,outside_cell
Barrel01,FP_Alpine_Barrel,0.650,135.00,5.80,37.50,0.0,2.27,2.93,2.27,Stacked,Walkways/TerraceSnow,false
Barrel02,FP_Alpine_Barrel,0.650,134.50,5.80,33.50,20.0,2.27,2.93,2.27,Stacked,Walkways/TerraceSnow,false
Barrel03,FP_Alpine_Barrel,0.650,135.00,5.80,52.00,0.0,2.27,2.93,2.27,Stacked,Walkways/TerraceSnow,false
Barrel04,FP_Alpine_Barrel,0.650,99.00,5.80,55.50,0.0,2.27,2.93,2.27,Stacked,Walkways/TerraceSnow,false
Bridge01,FP_Alpine_Bridge,1.000,-115.75,7.30,39.00,5.9,10.00,7.50,34.00,Stacked,Walkways/ShelfTop,false
CliffBlock01,FP_Alpine_Cliff_Block,1.000,92.00,0.30,81.00,12.0,14.00,12.00,12.00,Grounded,Ground,false
CliffBlock02,FP_Alpine_Cliff_Block,1.000,49.00,0.30,91.00,-8.0,14.00,12.00,12.00,Grounded,Ground,false
CliffBlock03,FP_Alpine_Cliff_Block,1.000,43.00,0.30,80.00,20.0,14.00,12.00,12.00,Grounded,Ground,false
CliffBlock04,FP_Alpine_Cliff_Block,1.000,-66.00,0.30,91.00,-5.0,14.00,12.00,12.00,Grounded,Ground,false
CliffBlock05,FP_Alpine_Cliff_Block,1.000,116.00,0.30,-41.00,10.0,14.00,12.00,12.00,Grounded,Ground,false
CliffBlock06,FP_Alpine_Cliff_Block,1.200,98.00,0.30,-60.00,-15.0,16.80,14.40,14.40,Grounded,Ground,false
CliffBlock07,FP_Alpine_Cliff_Block,1.300,-114.50,0.30,-34.00,8.0,18.20,15.60,15.60,Grounded,Ground,false
CliffBlock08,FP_Alpine_Cliff_Block,1.000,-131.00,0.30,-40.00,-90.0,14.00,12.00,12.00,Grounded,Ground,false
CliffTall01,FP_Alpine_Cliff_Tall,1.000,118.00,0.30,86.15,4.0,25.00,34.00,22.00,Grounded,Ground,false
CliffTall02,FP_Alpine_Cliff_Tall,1.000,-105.00,0.30,86.36,-3.0,25.00,34.00,22.00,Grounded,Ground,false
CliffTall03,FP_Alpine_Cliff_Tall,1.000,-127.00,0.30,85.00,-90.0,25.00,34.00,22.00,Grounded,Ground,false
CliffWide01,FP_Alpine_Cliff_Wide,1.000,104.00,0.30,86.04,-6.0,29.00,20.00,21.00,Grounded,Ground,false
CliffWide02,FP_Alpine_Cliff_Wide,1.000,72.00,0.30,86.76,3.0,29.00,20.00,21.00,Grounded,Ground,false
CliffWide03,FP_Alpine_Cliff_Wide,1.000,-86.00,0.30,86.00,4.0,29.00,20.00,21.00,Grounded,Ground,false
CliffWide04,FP_Alpine_Cliff_Wide,1.000,112.00,0.30,-14.00,-5.0,29.00,20.00,21.00,Grounded,Ground,false
Crate01,FP_Alpine_Crate,0.650,131.00,5.80,36.00,15.0,2.93,2.93,2.93,Stacked,Walkways/TerraceSnow,false
Crate02,FP_Alpine_Crate,0.650,131.00,8.73,36.00,27.0,2.93,2.93,2.93,Stacked,PropSites/Crate01,false
Drift01,FP_Alpine_Snow_Drift,0.800,113.09,0.30,-26.45,-5.0,10.40,2.00,6.40,Grounded,Ground,false
Drift02,FP_Alpine_Snow_Drift,0.800,114.61,0.30,-48.88,10.0,10.40,2.00,6.40,Grounded,Ground,false
Drift03,FP_Alpine_Snow_Drift,0.800,100.38,0.30,-68.89,-15.0,10.40,2.00,6.40,Grounded,Ground,false
Drift04,FP_Alpine_Snow_Drift,0.800,-115.86,0.30,-43.70,8.0,10.40,2.00,6.40,Grounded,Ground,false
Drift05,FP_Alpine_Snow_Drift,0.800,-123.00,0.30,-40.00,-90.0,10.40,2.00,6.40,Grounded,Ground,false
Drift06,FP_Alpine_Snow_Drift,1.000,133.00,0.30,-60.00,90.0,13.00,2.50,8.00,Grounded,Ground,false
Drift07,FP_Alpine_Snow_Drift,0.900,133.00,0.30,-40.00,90.0,11.70,2.25,7.20,Grounded,Ground,false
Drift08,FP_Alpine_Snow_Drift,1.000,131.50,0.30,-94.00,0.0,13.00,2.50,8.00,Grounded,Ground,false
Drift09,FP_Alpine_Snow_Drift,1.000,104.00,0.30,-92.00,5.0,13.00,2.50,8.00,Grounded,Ground,false
